time	reference
0.0	0.0
0.02	0.01999506803678334
0.04	0.039970432509831164
0.06	0.059906486720719354
0.08	0.07978381654327245
0.1	0.099583293839434
0.12	0.11928616650183013
0.14	0.13887414411423576
0.16	0.1583294783150533
0.18	0.17763503706007316
0.2	0.19677437210552626
0.22	0.2157317791667697
0.24	0.23449235034774524
0.26	0.25304201857754327
0.28	0.27136759392912496
0.3	0.28945679182799255
0.32	0.3072982532823011
0.34	0.32488155737806945
0.36	0.3421972263818639
0.38	0.3592367238772812
0.4	0.37599244643004
0.42	0.3924577093293283
0.44	0.4086267269905853
0.46	0.4244945886278576
0.48	0.4400572298133567
0.5	0.4553114005391894
0.52	0.47025463038295245
0.54	0.4848851913565837
0.56	0.4992020589881795
0.58	0.5132048721510287
0.6	0.5268938921144001
0.62	0.5402699612480644
0.64	0.5533344617684093
0.66	0.5660892748694221
0.68	0.5785367405377276
0.7000000000000001	0.590679618308063
0.72	0.6025210491746755
0.74	0.6140645188356231
0.76	0.6253138224111933
0.78	0.6362730307448482
0.8	0.6469464583653891
0.8200000000000001	0.6573386331624321
0.84	0.6674542678037727
0.86	0.6772982329026832
0.88	0.686875531925504
0.9	0.6961912778148736
0.92	0.7052506712914108
0.9400000000000001	0.7140589807863952
0.96	0.7226215239497833
0.98	0.7309436506715363
1.0	0.7390307275494965
1.02	0.7468881237337585
1.04	0.7545211980754237
1.06	0.7619352875066435
1.08	0.7691356965787763
1.1	0.7761276880861637
1.12	0.7829164747043341
1.1400000000000001	0.7895072115732511
1.16	0.7959049897584333
1.18	0.8021148305252893
1.2	0.808141680364757
1.22	0.8139904067112347
1.24	0.819665794296799
1.26	0.8251725420887497
1.28	0.8305152607605826
1.3	0.8356984706495234
1.32	0.8407266001567322
1.34	0.8456039845491885
1.36	0.8503348651250766
1.3800000000000001	0.8549233887071873
1.4000000000000001	0.8593736074314398
1.42	0.863689478800088
1.44	0.8678748659715098
1.46	0.8719335382606865
1.48	0.875869171826558
1.5	0.8796853505243921
1.52	0.8833855669031365
1.54	0.8869732233294283
1.56	0.8904516332215306
1.58	0.8938240223779457
1.6	0.8970935303868278
1.62	0.9002632121035951
1.6400000000000001	0.9033360391853127
1.6600000000000001	0.9063149016715117
1.68	0.9092026096021062
1.7	0.9120018946639942
1.72	0.9147154118587772
1.74	0.917345741184809
1.76	0.9198953893274966
1.78	0.9223667913524316
1.8	0.9247623123965244
1.82	0.9270842493528575
1.84	0.9293348325454737
1.86	0.9315162273907645
1.8800000000000001	0.9336305360425363
1.9000000000000001	0.9356797990182066
1.92	0.9376659968039194
1.94	0.9395910514366783
1.96	0.9414568280618734
1.98	0.9432651364648268
2.0	0.9450177325752128
2.02	0.9467163199434089
2.04	0.9483625511880192
2.06	0.9499580294139766
2.08	0.9515043096007784
2.1	0.9530028999605404
2.12	0.9544552632656751
2.14	0.955862818146101
2.16	0.9572269403559884
2.18	0.9585489640101245
2.2	0.9598301827900553
2.22	0.9610718511202287
2.24	0.9622751853144142
2.2600000000000002	0.9634413646927265
2.2800000000000002	0.9645715326696226
2.3000000000000003	0.9656667978132786
2.32	0.9667282348767803
2.34	0.9677568858015931
2.36	0.9687537606937947
2.38	0.9697198387735733
2.4	0.9706560692985104
2.42	0.971563372461176
2.44	0.9724426402615735
2.46	0.9732947373549811
2.48	0.9741205018757345
2.5	0.9749207462375032
2.52	0.97569625791061
2.54	0.976447800176943
2.56	0.9771761128630072
2.58	0.9778819130516572
2.6	0.9785658957730501
2.62	0.9792287346753508
2.64	0.9798710826757135
2.66	0.9804935725920607
2.68	0.9810968177561664
2.7	0.9816814126085498
2.72	0.9822479332756695
2.74	0.9827969381299049
2.7600000000000002	0.9833289683327981
2.7800000000000002	0.983844548362024
2.8000000000000003	0.9843441865225414
2.82	0.9848283754423747
2.84	0.9852975925534582
2.86	0.9857523005579731
2.88	0.9861929478805905
2.9	0.9866199691070271
2.92	0.9870337854093112
2.94	0.9874348049581444
2.96	0.9878234233227353
2.98	0.9882000238584736
3.0	0.9885649780828009
3.02	0.9889186460396271
3.04	0.9892613766526313
3.06	0.9895935080677764
3.08	0.9899153679853591
3.1	0.9902272739819068
3.12	0.9905295338222249
3.14	0.9908224457618897
3.16	0.9911062988404746
3.18	0.9913813731657857
3.2	0.9916479401893803
3.22	0.9919062629736306
3.24	0.9921565964505871
3.2600000000000002	0.9923991876728907
3.2800000000000002	0.9926342760569749
3.3000000000000003	0.9928620936187905
3.3200000000000003	0.9930828652022824
3.34	0.993296808700836
3.36	0.99350413527191
3.38	0.9937050495450608
3.4	0.9938997498235627
3.42	0.9940884282798162
3.44	0.994271271144738
3.46	0.9944484588913126
3.48	0.9946201664124881
3.5	0.994786563193586
3.52	0.9949478134793959
3.54	0.9951040764361153
3.56	0.9952555063082957
3.58	0.9954022525709451
3.6	0.9955444600769375
3.62	0.9956822691998741
3.64	0.9958158159725337
3.66	0.9959452322210495
3.68	0.9960706456949444
3.7	0.9961921801931501
3.72	0.9963099556861353
3.74	0.996424088434262
3.7600000000000002	0.9965346911024865
3.7800000000000002	0.9966418728715173
3.8000000000000003	0.9967457395455392
3.8200000000000003	0.9968463936566098
3.84	0.9969439345658296
3.86	0.9970384585613877
3.88	0.9971300589535764
3.9	0.9972188261668709
3.92	0.9973048478291623
3.94	0.9973882088582342
3.96	0.9974689915455652
3.98	0.9975472756375425
4.0	0.9976231384141642
4.0200000000000005	0.9976966547653096
4.04	0.9977678972646514
4.0600000000000005	0.9978369362412837
4.08	0.9979038398491346
4.1	0.9979686741342341
