time	N_iters	x0	x1
0.0	0	5.0	5.0
2.0	6	9.86287455044299	-6.6310504302329045
4.0	4	17.721793158920548	6.040550637524718
6.0	3	33.371512946781074	-4.171887106333707
8.0	3	61.675796078632025	2.5976663836582157
10.0	3	114.72059906096995	-1.50628211166084
12.0	2	212.9500117549881	0.8451684960886497
14.0	2	395.53555785017386	-0.46510650911720236
16.0	2	734.5348442349778	0.25342512758721475
18.0	2	1364.153088036017	-0.13732769454878163
20.0	2	2533.417992612741	0.07419934686264527
22.0	2	4704.9240803186085	-0.040027116232562075
24.0	2	8737.713479364262	0.02157445759629121
26.0	2	16227.183614643496	-0.011623220709087138
28.0	1	30136.19736648798	0.006260457126942166
30.0	1	55967.22409801666	-0.003371537477028723
32.0	1	103939.13024296668	0.0018155946308593745
34.0	1	193029.81342940906	-0.0009776717739738458
36.0	1	358483.9391608665	0.0005264513746073606
38.0	1	665755.8870481348	-0.0002834775073512234
40.0	1	1236403.7902133518	0.0001526428046805496
42.0	1	2296178.467549258	-8.219258967017573e-05
44.0	1	4264331.439728857	4.425763823129333e-05
46.0	1	7919472.673785113	-2.3831062050197814e-05
48.0	1	14707592.108456478	1.2832117896232573e-05
50.0	1	27314099.629991457	-6.9096041365181365e-06
52.0	1	50726185.02712653	3.7205567091739416e-06
54.0	1	94205772.19323522	-2.003376873860253e-06
56.0	1	174953576.93029386	1.0787414470546176e-06
58.0	1	324913785.72768867	-5.808607946769872e-07
60.0	1	603411316.3514217	3.1277120162602747e-07
62.0	1	1120621016.0812118	-1.6841526371650595e-07
64.0	1	2081153315.5793936	9.068514237884081e-08
66.0	1	3864999014.647445	-4.8830461390409105e-08
68.0	1	7177855312.916684	2.6293325395813477e-08
70.0	1	13330302723.988129	-1.415794445310433e-08
72.0	1	24756276487.406525	7.623508554340396e-09
74.0	1	45975942048.04069	-4.104966145418631e-09
76.0	1	85383892374.93271	2.2103663862190053e-09
78.0	1	158570085839.16074	-1.1901972849522077e-09
80.0	1	294487302272.7271	6.408754611469722e-10
82.0	0	546904989935.0646	-1.1901972850098253e-09
84.0	1	1015680695593.6914	6.408754611646056e-10
86.0	0	1886264148959.7124	-1.1901972850265317e-09
88.0	1	3503061990925.18	6.408754611697182e-10
90.0	0	6505686554575.334	-1.1901972850313759e-09
92.0	1	12081989315639.906	6.408754611712003e-10
94.0	0	22437980157616.97	-1.1901972850327796e-09
96.0	1	41670534578431.516	6.4087546117163e-10
98.0	0	77388135645658.53	-1.1901972850331866e-09
100.0	1	143720823341937.28	6.408754611717543e-10
