time	N_iters	x0	x1
0.0	0	5.0	5.0
2.0	5	13.023944957345698	-0.8045871800927534
4.0	3	25.988444063613183	0.3045396966668645
6.0	2	50.55681727825265	-0.03582098706481313
8.0	2	97.9018578617196	0.003953167651830268
10.0	2	189.473537601033	-0.00023136650845680768
12.0	1	366.6622935300109	1.1194785333697258e-05
14.0	1	709.5420254274977	-3.2593156744359663e-07
16.0	1	1373.0587820901658	7.604950196215022e-09
18.0	1	2657.0517238583666	-1.1191018846845452e-10
20.0	0	5141.748951857231	1.0731783555239511e-10
22.0	0	9949.968935316992	-1.0051259698245991e-10
24.0	0	19254.514883005948	9.406841327802228e-11
26.0	0	37260.05033150379	-8.800312513559914e-11
28.0	0	72103.15913500512	8.231234966618803e-11
30.0	0	139529.21456028707	-7.698156728898228e-11
32.0	0	270007.610614524	7.199215324653676e-11
34.0	0	522500.68216544937	-6.732424919220991e-11
36.0	0	1011108.3989151518	6.295810429251715e-11
38.0	0	1956629.396386199	-5.88746781835453e-11
40.0	0	3786338.4370164685	5.505588975879639e-11
42.0	0	7327069.084266485	-5.1484697472659174e-11
44.0	0	14178854.388916373	4.8145100790495086e-11
46.0	0	27437971.372999452	-4.5022105950647733e-11
48.0	0	53096128.39060079	4.210167674538959e-11
50.0	0	102748078.99411318	-3.937068018149337e-11
52.0	0	198831215.32547325	3.681683164833457e-11
54.0	0	384764879.05987775	-3.442864170142468e-11
56.0	0	744571278.2855765	3.219536535978943e-11
58.0	0	1440844574.490238	-3.010695423891826e-11
60.0	0	2788226122.041875	2.8154011569621834e-11
62.0	0	5395588840.931812	-2.6327750028807884e-11
64.0	0	10441182912.047428	2.461995225448212e-11
66.0	0	20205079337.3655	-2.3022933897294246e-11
68.0	0	39099519131.89699	2.1529509056866525e-11
70.0	0	75662776216.79025	-2.0132957954385274e-11
72.0	0	146417547630.7022	1.882699669937919e-11
74.0	0	283337452392.23254	-1.760574901628296e-11
76.0	0	548295701076.79333	1.6463719804357713e-11
78.0	0	1061025195508.3003	-1.539577041238093e-11
80.0	0	2053225044975.782	1.4397095517036848e-11
82.0	0	3973263880219.3486	-1.3463201501058938e-11
84.0	0	7688794708834.228	1.258988623387832e-11
86.0	0	14878841641731.979	-1.1773220163820412e-11
88.0	0	28792539921163.156	1.1009528636782546e-11
90.0	0	55717398912733.69	-1.0295375361839052e-11
92.0	0	107820586516539.78	9.627546949378255e-12
94.0	0	208647192863014.06	-9.003038452200639e-12
96.0	0	403760102741953.56	8.419039844519775e-12
98.0	0	781329565613778.0	-7.872923378027422e-12
100.0	0	1511976755396199.2	7.36223175813057e-12
